task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
8	1e/43dafc	23051	fastqToSsake (8)	COMPLETED	0	2015-05-13 05:12:29.042	18.3s	16s	142.0%	1.4 GB	26 GB	1.4 GB	26 GB	219.2 MB	16.4 MB	29118	33772	18334	16028	1530974208	27910385664	1530974208	27911028736	229809727	17165370
1	d0/f1590d	23056	fastqToSsake (1)	COMPLETED	0	2015-05-13 05:12:29.041	29.5s	29.4s	-	-	-	-	-	-	-	-	-	29460	29376	-	-	-	-	-	-
5	d2/9f1252	23050	fastqToSsake (5)	COMPLETED	0	2015-05-13 05:12:29.042	29.5s	19.5s	94.7%	1.3 GB	26 GB	1.3 GB	26.1 GB	198.5 MB	15.8 MB	26467	32574	29471	19486	1369202688	27910385664	1370398720	27976441856	208097827	16551050
3	43/02b9b7	23059	fastqToSsake (3)	COMPLETED	0	2015-05-13 05:12:29.045	29.5s	19.4s	97.7%	1.5 GB	26 GB	1.5 GB	26.1 GB	232.1 MB	15.7 MB	30772	32446	29477	19351	1563299840	27910385664	1563299840	27976441856	243368138	16498284
10	fe/897543	23057	interleave (2)	COMPLETED	0	2015-05-13 05:12:29.042	29.7s	25.4s	115.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	181 MB	42.5 MB	24317	87811	29672	25438	1210044416	28046708736	1210044416	28113842176	189791299	44519244
14	de/22c965	23052	interleave (6)	COMPLETED	0	2015-05-13 05:12:29.043	37.7s	25.4s	120.0%	1.1 GB	26.1 GB	1.1 GB	26.1 GB	179.8 MB	41.6 MB	24160	86092	37733	25404	1143332864	28046708736	1143332864	28047073280	188513794	43642850
11	89/b2b69a	23054	interleave (3)	COMPLETED	0	2015-05-13 05:12:29.041	37.8s	30.6s	125.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	216.2 MB	52.9 MB	28823	109476	37750	30642	1221677056	28046708736	1221677056	28113842176	226714688	55511516
9	3c/e21eff	23058	interleave (1)	COMPLETED	0	2015-05-13 05:12:29.040	40.5s	24s	105.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	179.8 MB	43.6 MB	24165	90206	40537	24016	1144840192	28046708736	1144840192	28113842176	188553435	45738116
13	a5/c0a750	23055	interleave (5)	COMPLETED	0	2015-05-13 05:12:29.044	49.8s	27.2s	107.0%	1.1 GB	26.1 GB	1.1 GB	26.1 GB	216.3 MB	53 MB	28832	109526	49827	27239	1192742912	28046708736	1192742912	28047073280	226771554	55528004
15	c7/b7fee2	23053	interleave (7)	COMPLETED	0	2015-05-13 05:12:29.043	1m	33.1s	109.0%	1.2 GB	26.1 GB	1.2 GB	26.2 GB	244.1 MB	62.3 MB	32400	128837	60323	33120	1286651904	28046708736	1286651904	28113842176	256006595	65333416
