task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
3	67/991b0b	25191	fastqToSsake (3)	COMPLETED	0	2015-05-13 01:35:52.635	21.2s	18.9s	117.0%	1.3 GB	27.3 GB	1.3 GB	27.4 GB	229.4 MB	14 MB	26513	28906	21183	18929	1377837056	29347868672	1381416960	29413949440	240510335	14686036
2	eb/7c286c	25196	fastqToSsake (2)	COMPLETED	0	2015-05-13 01:35:52.634	21.7s	18.4s	109.0%	1.3 GB	27.3 GB	1.3 GB	27.3 GB	223 MB	14.3 MB	25692	29534	21709	18392	1380773888	29347868672	1380773888	29351030784	233780209	15008667
6	e3/19934f	25192	fastqToSsake (6)	COMPLETED	0	2015-05-13 01:35:52.632	21.8s	19.1s	119.0%	1.4 GB	27.3 GB	1.4 GB	27.4 GB	252.7 MB	14.3 MB	29502	29441	21812	19087	1544327168	29347868672	1544327168	29413961728	264990987	14962007
5	52/62cca5	25198	fastqToSsake (5)	COMPLETED	0	2015-05-13 01:35:52.632	21.8s	20.3s	106.0%	1.5 GB	27.3 GB	1.5 GB	27.4 GB	261.5 MB	14 MB	30631	28921	21815	20311	1565511680	29347868672	1565511680	29413949440	274240653	14701241
15	6c/2bd2cf	25195	interleave (7)	COMPLETED	0	2015-05-13 01:35:52.630	26.8s	26.3s	135.0%	1.1 GB	27.5 GB	1.1 GB	27.5 GB	210.1 MB	41.8 MB	24256	86490	26812	26311	1166565376	29484191744	1166565376	29484191744	220262213	43844811
4	b8/4a7dfe	25197	fastqToSsake (4)	COMPLETED	0	2015-05-13 01:35:52.633	26.8s	23.8s	111.0%	1.5 GB	27.3 GB	1.5 GB	27.3 GB	279.6 MB	19.9 MB	33056	41086	26814	23791	1621360640	29347868672	1621360640	29351030784	293176911	20867481
9	14/0969a5	25193	interleave (1)	COMPLETED	0	2015-05-13 01:35:52.637	31.4s	26.4s	116.0%	1.1 GB	27.5 GB	1.1 GB	27.5 GB	223.1 MB	50.3 MB	25806	104061	31415	26365	1213489152	29484191744	1213489152	29484191744	233886670	52761112
10	d6/1f63cd	25190	interleave (2)	COMPLETED	0	2015-05-13 01:35:52.630	32s	28s	116.0%	1.1 GB	27.5 GB	1.1 GB	27.5 GB	225.7 MB	49.9 MB	26143	103220	32013	28021	1177714688	29484191744	1177714688	29551300608	236652481	52328852
12	3b/9e52b0	25194	interleave (4)	COMPLETED	0	2015-05-13 01:35:52.631	37s	34.8s	117.0%	1.2 GB	27.5 GB	1.2 GB	27.5 GB	270 MB	59.5 MB	31814	122988	37013	34819	1317376000	29484191744	1317376000	29551300608	283104433	62369492
11	01/552a7d	25199	interleave (3)	COMPLETED	0	2015-05-13 01:35:52.629	37s	32.8s	118.0%	1.1 GB	27.5 GB	1.1 GB	27.5 GB	260.3 MB	60.1 MB	30575	124371	37032	32821	1226944512	29484191744	1226944512	29484191744	272957235	63064343
17	4e/9c3b2f	28727	reformat (1)	COMPLETED	0	2015-05-13 01:36:24.053	10.8s	10.3s	116.8%	3.3 MB	214.9 MB	3.3 MB	215.1 MB	119 MB	116.5 MB	17543	14737	10765	10308	3424256	225390592	3424256	225497088	124749259	122175488
21	05/0468bf	30064	alignReads (1)	COMPLETED	0	2015-05-13 01:36:34.819	348ms	282ms	14.0%	24.2 MB	151.9 MB	26.2 MB	152 MB	34.4 KB	279 B	79	5	348	282	25399296	159309824	27496448	159416320	35246	279
7	84/6aa1eb	27831	fastqToSsake (7)	COMPLETED	0	2015-05-13 01:36:14.449	21.2s	17s	115.0%	1.3 GB	27.3 GB	1.3 GB	27.3 GB	228.4 MB	15.8 MB	26392	32675	21214	17005	1375846400	29347868672	1379557376	29351030784	239516879	16613054
18	9b/e44699	28991	reformat (2)	COMPLETED	0	2015-05-13 01:36:24.644	11s	9.7s	121.4%	3.3 MB	214.9 MB	3.3 MB	215.1 MB	126.1 MB	122.8 MB	18622	15619	11027	9737	3424256	225390592	3424256	225497088	132269515	128729088
8	a3/da2cf5	27672	fastqToSsake (8)	COMPLETED	0	2015-05-13 01:36:14.344	21.3s	17.4s	115.0%	1.4 GB	27.3 GB	1.4 GB	27.3 GB	249.1 MB	15.7 MB	29156	32335	21341	17431	1534853120	29347868672	1534853120	29351030784	261228523	16433074
25	9b/fbb181	30545	alignReads (4)	COMPLETED	0	2015-05-13 01:36:35.686	338ms	308ms	0.0%	1.1 MB	103.6 MB	1.1 MB	103.6 MB	5.1 KB	0	11	0	338	308	1204224	108650496	1204224	108650496	5175	0
24	0f/006d9c	30510	alignReads (3)	COMPLETED	0	2015-05-13 01:36:35.671	366ms	306ms	0.0%	1.1 MB	103.6 MB	1.1 MB	103.6 MB	14.6 KB	130 B	31	2	366	306	1204224	108650496	1204224	108650496	14911	130
23	25/a2a942	30496	alignReads (2)	COMPLETED	0	2015-05-13 01:36:35.664	378ms	299ms	0.0%	25.3 MB	151.9 MB	25.3 MB	152 MB	34.4 KB	279 B	79	5	378	299	26497024	159309824	26497024	159416320	35246	279
26	a6/22aecb	30875	alignReads (5)	COMPLETED	0	2015-05-13 01:36:36.025	342ms	272ms	0.0%	1.2 MB	103.6 MB	1.2 MB	103.6 MB	14.6 KB	130 B	31	2	342	272	1208320	108650496	1232896	108650496	14911	130
19	59/94d53c	29398	reformat (3)	COMPLETED	0	2015-05-13 01:36:29.644	10.9s	10.3s	123.2%	3.3 MB	214.9 MB	3.3 MB	215.1 MB	142.4 MB	139.7 MB	21163	17747	10930	10287	3428352	225390592	3428352	225497088	149329355	146456576
1	9e/fe5b8b	28277	fastqToSsake (1)	COMPLETED	0	2015-05-13 01:36:19.443	21.2s	20.1s	120.0%	1.5 GB	27.3 GB	1.5 GB	27.3 GB	263 MB	15.9 MB	30819	32686	21238	20105	1571569664	29347868672	1571569664	29351030784	275780651	16620669
13	10/9c4231	27497	interleave (5)	COMPLETED	0	2015-05-13 01:36:13.827	30.9s	28.1s	123.0%	1.2 GB	27.5 GB	1.2 GB	27.5 GB	251.5 MB	54.1 MB	29558	111866	30865	28064	1282727936	29484191744	1282727936	29484191744	263698408	56716220
16	b4/bb75cf	28280	interleave (8)	COMPLETED	0	2015-05-13 01:36:19.447	26.1s	25.9s	121.0%	1.1 GB	27.5 GB	1.1 GB	27.5 GB	228.4 MB	44.1 MB	26604	91078	26109	25911	1198088192	29484191744	1198088192	29484191744	239497555	46194051
20	bc/b2c096	29418	reformat (4)	COMPLETED	0	2015-05-13 01:36:29.661	16.1s	11.2s	121.5%	3.3 MB	214.9 MB	3.3 MB	215.1 MB	248.1 MB	243.8 MB	36758	30912	16066	11219	3424256	225390592	3424256	225497088	260101579	255590400
14	b4/fbace9	27827	interleave (6)	COMPLETED	0	2015-05-13 01:36:14.444	31.5s	27.1s	113.0%	1.1 GB	27.5 GB	1.1 GB	27.5 GB	250.4 MB	54.5 MB	29308	112777	31466	27057	1206571008	29484191744	1206571008	29551300608	262573363	57177686
33	f7/729acf	32166	alignReads (6)	COMPLETED	0	2015-05-13 01:36:45.558	844ms	745ms	-	-	-	-	-	-	-	-	-	844	745	-	-	-	-	-	-
28	d2/c0410f	30906	reformat (6)	COMPLETED	0	2015-05-13 01:36:36.042	10.6s	9.9s	109.9%	3.3 MB	214.9 MB	3.3 MB	215.1 MB	118 MB	115.8 MB	17463	14660	10649	9879	3424256	225390592	3424256	225497088	123782603	121421824
36	50/d53890	32626	alignReads (8)	COMPLETED	0	2015-05-13 01:36:46.403	546ms	521ms	0.0%	2.5 MB	115.8 MB	2.6 MB	115.9 MB	19 KB	226 B	42	3	546	521	2617344	121417728	2691072	121552896	19434	226
