name,realtime_docker,realtime_native
alignContigs,3896,338
alignContigs,3984.5,345.5
alignContigs,3987.5,347.5
alignContigs,4071,347.5
alignContigs,4144,350
alignContigs,4150,350.5
alignContigs,4188,351.5
alignContigs,4196.5,353.5
alignContigs,4645,361
alignContigs,4655,371.5
alignReads,28360,2966.5
alignReads,30023,339.5
alignReads,30849.5,351
alignReads,32508.5,357
alignReads,32785,366.5
alignReads,34085.5,372
alignReads,35098,372.5
alignReads,35240.5,374.5
alignReads,36595,403.5
alignReads,37334,461
fastqToSsake,28050.5,21506.5
fastqToSsake,28389,21525
fastqToSsake,29226.5,21527.5
fastqToSsake,30131,21669
fastqToSsake,30689,21695.5
fastqToSsake,35658.5,21732.5
fastqToSsake,37726.5,21742
fastqToSsake,38315,21752
fastqToSsake,38489.5,21908
fastqToSsake,44912,22054
interleave,38044.5,31440.5
interleave,40265,31605.5
interleave,41445.5,31707.5
interleave,42700.5,31815.5
interleave,45182,31876.5
interleave,45728.5,31890
interleave,49311.5,31897.5
interleave,52151,32134.5
interleave,54623,32181.5
interleave,55155.5,32336.5
reformat,35440.5,10919.5
reformat,35883,10978.5
reformat,37497,10994
reformat,37666.5,11162
reformat,37813.5,11189
reformat,39689,11192
reformat,42040,11225
reformat,43621,11340.5
reformat,43939.5,11386
reformat,45653,11400.5
ssake,8677344.5,8497663.5
ssake,8680986.5,8541499
ssake,8683196,8547998
ssake,8687950,8556774.5
ssake,8690297.5,8571987.5
ssake,8695613.5,8577037.5
ssake,8702352.5,8584811.5
ssake,8716366,8653486.5
ssake,8730872,8662824.5
ssake,8736762.5,8663090.5
