name,realtime_docker,realtime_native
alignContigs,38,560
alignContigs,40,284
alignContigs,37,485
alignContigs,47,311
alignContigs,53,305
alignContigs,41,285
alignContigs,55,269
alignContigs,40,297
alignContigs,45,280
alignContigs,42,273
alignContigs,37,284
alignContigs,39,272
alignContigs,39,275
alignContigs,36,297
alignContigs,38,268
alignContigs,39,296
alignContigs,34,272
alignContigs,39,280
alignContigs,36,278
alignContigs,49,297
alignContigs,35,284
alignContigs,36,282
alignContigs,41,283
alignContigs,39,267
alignContigs,4369,292
alignContigs,36,312
alignContigs,35,268
alignContigs,34,268
alignContigs,39,283
alignContigs,41,281
alignContigs,34,281
alignContigs,38,283
alignContigs,35,275
alignContigs,34,285
alignContigs,34,280
alignContigs,39,278
alignContigs,46,295
alignContigs,39,293
alignContigs,39,271
alignContigs,62,287
alignContigs,37,272
alignContigs,41,267
alignContigs,38,282
alignContigs,37,253
alignContigs,49,277
alignContigs,32,295
alignContigs,47,268
alignContigs,39,291
alignContigs,36,281
alignContigs,42,269
alignContigs,40,261
alignContigs,3585,260
alignContigs,4097,261
alignContigs,41,265
alignContigs,40,259
alignContigs,39,261
alignContigs,37,267
alignContigs,37,293
alignContigs,37,469
alignContigs,35,259
alignContigs,37,267
alignContigs,41,261
alignContigs,38,399
alignContigs,45,266
alignContigs,38,265
alignContigs,36,400
alignContigs,41,272
alignContigs,40,264
alignContigs,40,276
alignContigs,36,257
alignContigs,3742,428
alignContigs,42,481
alignContigs,3577,265
alignContigs,44,260
alignContigs,45,279
alignContigs,45,370
alignContigs,41,467
alignContigs,41,271
alignContigs,44,272
alignContigs,39,270
alignReads,43,1372
alignReads,32454,482
alignReads,73,487
alignReads,98,452
alignReads,121,299
alignReads,62,282
alignReads,126,277
alignReads,36755,283
alignReads,28386,917
alignReads,636,269
alignReads,21403,1363
alignReads,35713,469
alignReads,63,262
alignReads,55009,269
alignReads,42883,265
alignReads,758,299
alignReads,60,367
alignReads,59,258
alignReads,36768,283
alignReads,28890,274
alignReads,38652,1316
alignReads,31126,302
alignReads,37,275
alignReads,26688,262
alignReads,30839,749
alignReads,732,306
alignReads,70,283
alignReads,39564,271
alignReads,36716,273
alignReads,74,286
alignReads,58,286
alignReads,40309,303
alignReads,130,262
alignReads,66,267
alignReads,30824,993
alignReads,33426,308
alignReads,41489,272
alignReads,45,266
alignReads,108,264
alignReads,36110,270
alignReads,59,269
alignReads,113,496
alignReads,34845,284
alignReads,54,261
alignReads,42529,1733
alignReads,33380,272
alignReads,37033,270
alignReads,39555,270
alignReads,112,278
alignReads,120,253
alignReads,26358,266
alignReads,42592,689
alignReads,59,258
alignReads,37183,259
alignReads,115,1731
alignReads,51602,745
alignReads,48904,250
alignReads,27408,268
alignReads,57,281
alignReads,115,262
alignReads,39416,257
alignReads,27579,274
alignReads,99,549
alignReads,45162,275
alignReads,21988,283
alignReads,44582,722
alignReads,100,245
alignReads,33621,225
alignReads,111,290
alignReads,24106,266
alignReads,49,268
alignReads,27303,259
alignReads,13190,274
alignReads,42,281
alignReads,115,265
alignReads,31973,521
alignReads,191,276
alignReads,51,273
alignReads,112,263
alignReads,17273,270
fastqToSsake,19445,16553
fastqToSsake,15365,16734
fastqToSsake,16982,21080
fastqToSsake,22643,18338
fastqToSsake,20494,19100
fastqToSsake,29376,20105
fastqToSsake,19092,20527
fastqToSsake,22771,22040
fastqToSsake,20384,18477
fastqToSsake,15399,18695
fastqToSsake,17908,19647
fastqToSsake,18036,22782
fastqToSsake,20205,19130
fastqToSsake,16847,16913
fastqToSsake,21497,21461
fastqToSsake,21544,18392
fastqToSsake,20425,19594
fastqToSsake,21117,19281
fastqToSsake,16943,17720
fastqToSsake,17008,20523
fastqToSsake,22388,22829
fastqToSsake,19066,19722
fastqToSsake,19347,18083
fastqToSsake,15099,20865
fastqToSsake,20124,24733
fastqToSsake,19351,18929
fastqToSsake,17509,16730
fastqToSsake,20723,18798
fastqToSsake,15388,21902
fastqToSsake,17243,23156
fastqToSsake,17253,22118
fastqToSsake,18323,23747
fastqToSsake,18425,21114
fastqToSsake,20864,22216
fastqToSsake,19799,19964
fastqToSsake,23163,23791
fastqToSsake,15940,23301
fastqToSsake,19944,16300
fastqToSsake,20265,21150
fastqToSsake,21275,18192
fastqToSsake,16668,20131
fastqToSsake,19194,19401
fastqToSsake,21879,18650
fastqToSsake,16897,17370
fastqToSsake,20760,20758
fastqToSsake,19486,20311
fastqToSsake,15071,20579
fastqToSsake,20103,21202
fastqToSsake,17847,18979
