begin	end	elapsed	delta	duration	realtime
May-11 16:28:05.582	May-11 20:12:10.478	3:44:4	13444896	77262087	76306417
May-11 23:54:16.588	May-12 03:36:31.648	3:42:15	13335060	77015898	76204135
May-12 07:15:47.421	May-12 10:56:43.085	3:40:55	13255664	76796379	75840419
May-12 14:33:15.925	May-12 18:15:38.586	3:42:22	13342661	76958673	76079484
May-12 21:53:03.479	May-13 01:35:30.391	3:42:26	13346912	77100797	76188340
May-13 05:12:27.892	May-13 08:55:57.548	3:43:29	13409656	77244677	76177824
May-13 12:38:29.533	May-13 16:21:23.206	3:42:53	13373673	77019597	76113267
May-13 20:01:45.018	May-13 23:42:06.029	3:40:21	13221011	76915757	76069382
May-14 03:23:09.229	May-14 07:07:37.456	3:44:28	13468227	77044841	76154932
May-14 10:44:06.629	May-14 14:25:08.918	3:41:2	13262289	76937451	75993677
