task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
3	0b/eec35d	9483	fastqToSsake (3)	COMPLETED	0	2015-05-14 03:23:10.399	17s	15.4s	136.0%	1.3 GB	26 GB	1.3 GB	26.1 GB	192 MB	9.2 MB	25646	19006	16985	15388	1370058752	27910385664	1371217920	27976441856	201367701	9654302
7	fb/a30cd0	9478	fastqToSsake (7)	COMPLETED	0	2015-05-14 03:23:10.404	28s	17.9s	99.5%	1.3 GB	26 GB	1.3 GB	26.1 GB	197.5 MB	15.3 MB	26346	31595	28010	17873	1369145344	27910385664	1370034176	27976441856	207104371	16064462
6	71/2f4694	9486	fastqToSsake (6)	COMPLETED	0	2015-05-14 03:23:10.402	28s	16.9s	96.6%	1.4 GB	26 GB	1.4 GB	26.1 GB	221.8 MB	15.8 MB	29455	32699	28044	16929	1537683456	27910385664	1537683456	27976441856	232578474	16618944
2	41/15780c	9484	fastqToSsake (2)	COMPLETED	0	2015-05-14 03:23:10.405	28s	16.9s	102.0%	1.3 GB	26 GB	1.3 GB	26.1 GB	198.5 MB	15.8 MB	26466	32574	28044	16943	1368342528	27910385664	1370644480	27976441856	208097822	16551050
1	2b/70d49b	9481	fastqToSsake (1)	COMPLETED	0	2015-05-14 03:23:10.401	28.1s	20.4s	115.0%	1.5 GB	26 GB	1.5 GB	26.1 GB	232.1 MB	15.2 MB	30772	31426	28057	20384	1565265920	27910385664	1565265920	27976441856	243368138	15979160
8	cc/1e83e3	9485	fastqToSsake (8)	COMPLETED	0	2015-05-14 03:23:10.404	28.1s	17.5s	106.0%	1.4 GB	26 GB	1.4 GB	26 GB	219.2 MB	15.1 MB	29117	31244	28065	17499	1530208256	27910385664	1530208256	27911540736	229809722	15880100
13	f1/7e8a3c	9482	interleave (5)	COMPLETED	0	2015-05-14 03:23:10.402	41.3s	30.7s	107.0%	1.2 GB	26.1 GB	1.2 GB	26.2 GB	223.9 MB	55.3 MB	29811	114321	41276	30689	1241391104	28046708736	1241391104	28113842176	234795386	57961622
10	57/1be920	9477	interleave (2)	COMPLETED	0	2015-05-14 03:23:10.400	43.7s	29.2s	105.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	191 MB	47.8 MB	25590	98957	43728	29196	1160749056	28046708736	1160749056	28113842176	200232142	50169988
15	90/6048d8	9480	interleave (7)	COMPLETED	0	2015-05-14 03:23:10.403	46.2s	27.1s	119.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	217.7 MB	54.1 MB	29014	111935	46215	27149	1190748160	28046708736	1190748160	28113842176	228278288	56777300
11	45/a3dcbd	9479	interleave (3)	COMPLETED	0	2015-05-14 03:23:10.402	46.5s	33.6s	123.0%	1.2 GB	26.1 GB	1.2 GB	26.2 GB	234.1 MB	56.9 MB	31115	117628	46476	33558	1276211200	28046708736	1276211200	28113842176	245488078	59651618
17	44/22e651	13412	reformat (1)	COMPLETED	0	2015-05-14 03:23:51.678	26.2s	10.2s	99.3%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	109.8 MB	107.9 MB	16242	13640	26222	10180	3534848	29097984	3534848	29147136	115158487	113098752
18	1d/c4ffb4	13481	reformat (2)	COMPLETED	0	2015-05-14 03:23:54.129	32.5s	10s	92.0%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	121.6 MB	119.5 MB	18006	15121	32453	10043	3547136	29097984	3547136	29147136	127520215	125272064
19	ac/d478a6	13522	reformat (3)	COMPLETED	0	2015-05-14 03:23:56.618	30s	10.6s	92.5%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	132.5 MB	130 MB	19697	16512	29972	10581	3534848	29097984	3534848	29147136	138890711	136364032
20	16/610f14	13556	reformat (4)	COMPLETED	0	2015-05-14 03:23:56.878	29.7s	10.7s	88.8%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	113.6 MB	111.6 MB	16781	14100	29719	10740	3543040	29097984	3543040	29147136	119152087	117030912
5	9b/303c55	13019	fastqToSsake (5)	COMPLETED	0	2015-05-14 03:23:38.414	48.2s	17.8s	122.0%	1.5 GB	26 GB	1.5 GB	26.1 GB	230.6 MB	16.1 MB	30584	33126	48243	17847	1560940544	27910385664	1560940544	27976441856	241828140	16840228
9	83/c1cf44	13090	interleave (1)	COMPLETED	0	2015-05-14 03:23:38.470	57.8s	25.6s	100.0%	1.1 GB	26.1 GB	1.1 GB	26.1 GB	174 MB	40.2 MB	23419	83138	57826	25587	1145511936	28046708736	1145511936	28047073280	182443683	42150746
16	d3/3018cf	13049	interleave (8)	COMPLETED	0	2015-05-14 03:23:38.450	1m 1s	26.3s	118.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	196.7 MB	50.8 MB	26330	104982	60875	26316	1147785216	28046708736	1147785216	28113842176	206291546	53218840
4	de/901f17	12486	fastqToSsake (4)	COMPLETED	0	2015-05-14 03:23:27.394	1m 16s	20.3s	121.0%	1.5 GB	26 GB	1.5 GB	26 GB	249.6 MB	15.8 MB	33017	32552	75639	20265	1611182080	27910385664	1611182080	27911028736	261758110	16533238
12	77/bc8107	13043	interleave (4)	COMPLETED	0	2015-05-14 03:23:38.446	1m 5s	27.8s	108.0%	1.1 GB	26.1 GB	1.1 GB	26.1 GB	216.9 MB	53.3 MB	28905	110142	64789	27756	1189625856	28046708736	1189625856	28047073280	227385944	55840716
14	a3/fbe7fc	13066	interleave (6)	COMPLETED	0	2015-05-14 03:23:38.459	1m 5s	31.5s	109.0%	1.2 GB	26.1 GB	1.2 GB	26.2 GB	230.4 MB	60.7 MB	30638	125506	64831	31472	1235755008	28046708736	1235755008	28113842176	241583168	63641494
23	b1/29be80	16820	alignReads (1)	COMPLETED	0	2015-05-14 03:24:26.591	28.4s	28.4s	-	-	-	-	-	-	-	-	-	28396	28386	-	-	-	-	-	-
