task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
1	c2/1afb5d	28412	fastqToSsake (1)	COMPLETED	0	2015-05-12 10:57:07.396	21.5s	18.3s	101.0%	1.3 GB	27.3 GB	1.3 GB	27.4 GB	222.9 MB	14.3 MB	25692	29534	21516	18338	1380507648	29347868672	1383276544	29413961728	233779837	15008667
8	c1/c61b78	28419	fastqToSsake (8)	COMPLETED	0	2015-05-12 10:57:07.396	21.9s	18.3s	96.4%	1.3 GB	27.3 GB	1.3 GB	27.3 GB	228.4 MB	14.8 MB	26392	30571	21875	18342	1380556800	29347868672	1384964096	29351030784	239516507	15543954
6	01/598c73	28413	fastqToSsake (6)	COMPLETED	0	2015-05-12 10:57:07.404	21.9s	18.8s	97.8%	1.4 GB	27.3 GB	1.4 GB	27.3 GB	250.1 MB	14.5 MB	29164	29982	21879	18789	1530822656	29347868672	1530822656	29351030784	262221863	15236240
7	0f/99b032	28420	fastqToSsake (7)	COMPLETED	0	2015-05-12 10:57:07.397	21.9s	20.4s	98.4%	1.5 GB	27.3 GB	1.5 GB	27.4 GB	261.5 MB	14.1 MB	30631	29101	21893	20407	1568821248	29347868672	1568821248	29413961728	274240281	14792958
12	ea/6853f6	28421	interleave (4)	COMPLETED	0	2015-05-12 10:57:07.395	31.5s	29s	99.3%	1.1 GB	27.5 GB	1.1 GB	27.5 GB	241.6 MB	49.9 MB	28180	103236	31541	28994	1207009280	29484191744	1207009280	29484191744	253336535	52337356
14	9b/1117f5	28414	interleave (6)	COMPLETED	0	2015-05-12 10:57:07.403	31.6s	31s	103.0%	1.2 GB	27.5 GB	1.2 GB	27.5 GB	243.9 MB	49.3 MB	28470	102022	31623	30955	1255141376	29484191744	1255141376	29484191744	255707892	51728534
9	c2/ab29d3	28416	interleave (1)	COMPLETED	0	2015-05-12 10:57:07.398	32.1s	27.3s	108.0%	1.1 GB	27.5 GB	1.1 GB	27.5 GB	222 MB	49.7 MB	25674	102761	32093	27286	1160314880	29484191744	1160314880	29484191744	232806434	52102416
10	fd/6455f2	28417	interleave (2)	COMPLETED	0	2015-05-12 10:57:07.397	32.2s	27.8s	102.0%	1.1 GB	27.5 GB	1.1 GB	27.5 GB	226.9 MB	50.5 MB	26295	104519	32176	27765	1162338304	29484191744	1162338304	29484191744	237897293	52988463
16	49/a9de91	28415	interleave (8)	COMPLETED	0	2015-05-12 10:57:07.399	32.2s	27.3s	107.0%	1.1 GB	27.5 GB	1.1 GB	27.5 GB	227.8 MB	50.9 MB	26418	105186	32179	27281	1169436672	29484191744	1169436672	29551300608	238902233	53322430
13	9b/2ede4f	28418	interleave (5)	COMPLETED	0	2015-05-12 10:57:07.397	36.6s	32.5s	99.6%	1.2 GB	27.5 GB	1.2 GB	27.5 GB	259.5 MB	59.7 MB	30465	123385	36648	32504	1265127424	29484191744	1265127424	29484191744	272055743	62564656
