name,realtime_docker,realtime_native
alignContigs,4191.625,348.625
alignContigs,4062.625,1009.125
alignContigs,4167,1009.375
alignContigs,4029.25,363.125
alignContigs,4145,994.75
alignContigs,4157,359.375
alignContigs,17054.375,366.125
alignContigs,4069.25,993.875
alignContigs,17099.5,997.75
alignContigs,4545.25,383
alignReads,28893.125,2993.625
alignReads,30323.25,342.25
alignReads,31181.125,981.375
alignReads,31594.625,353.75
alignReads,30582.875,2297.875
alignReads,34686.625,1105.125
alignReads,34903.5,1640.375
alignReads,33797.75,385.75
alignReads,36590.625,450.875
alignReads,37149.875,1069.125
fastqToSsake,35135.875,22613.25
fastqToSsake,33665,22140.75
fastqToSsake,34998.875,21558.5
fastqToSsake,33383.125,22070.625
fastqToSsake,37987,22062.375
fastqToSsake,40766.5,22353.875
fastqToSsake,43386.375,22772.875
fastqToSsake,41679.125,22877.125
fastqToSsake,43237.125,22804.75
fastqToSsake,42784.25,22413.75
interleave,43687.875,31590.625
interleave,46776.25,32236.875
interleave,47064.25,30523.25
interleave,46313.125,31147.125
interleave,49384.125,32432.25
interleave,48421.5,31768.75
interleave,50799.75,31842
interleave,53252,32975.625
interleave,52812.125,32058.25
interleave,55459.125,32107.75
reformat,36005.375,12063.375
reformat,39766.375,12734.875
reformat,37967.5,12751.25
reformat,37490.125,12168.875
reformat,39799.75,12724.5
reformat,41132.75,12233
reformat,42805.25,12217.375
reformat,44938.75,12266
reformat,42972.5,12229.5
reformat,47090,12829.5
ssake,9453389,9278939.25
ssake,9459468.125,9350804
ssake,9461669.125,9327518.125
ssake,9464710.75,9310700.625
ssake,9461462.5,9402224.5
ssake,9448187.375,9324142.5
ssake,9450485,9311689.125
ssake,9487336.375,9342940.5
ssake,9438973.625,9321528.875
ssake,9473151.75,9392171.125
