begin	end	elapsed	delta	duration	realtime
May-11 12:50:29.690	May-11 16:27:52.180	3:37:22	13042490	75137679	75035811
May-11 20:12:35.163	May-11 23:54:03.184	3:41:28	13288021	75759367	75685951
May-12 03:36:55.512	May-12 07:15:34.439	3:38:38	13118927	75141504	75051162
May-12 10:57:06.262	May-12 14:33:05.155	3:35:58	12958893	74785094	74685170
May-12 18:15:59.390	May-12 21:52:52.699	3:36:53	13013309	75047474	74958988
May-13 01:35:51.452	May-13 05:12:14.646	3:36:23	12983194	75037148	74955488
May-13 08:56:18.372	May-13 12:38:18.747	3:42:0	13320375	75167031	75080411
May-13 16:21:43.993	May-13 20:01:34.260	3:39:50	13190267	75679614	75594984
May-13 23:42:26.810	May-14 03:22:54.983	3:40:28	13228173	75347764	75255480
May-14 07:07:58.230	May-14 10:43:55.826	3:35:57	12957596	75278705	75201135
