task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
18	96/088ca3	20465	formatChr (9)	COMPLETED	0	2015-05-10 11:40:40.054	13.5s	7.1s	75.8%	350.8 MB	363.9 MB	351 MB	364 MB	1 GB	1 GB	133730	266851	13483	7143	367865856	381538304	368062464	381685760	1092939133	1092926051
5	38/454b1b	20462	formatBlast (5)	COMPLETED	0	2015-05-10 11:40:40.055	1m 19s	48.7s	95.0%	348.9 MB	463.1 MB	527.6 MB	643.2 MB	1016.3 MB	252 MB	32573	2928	78536	48740	365867008	485560320	553201664	674447360	1065641069	264269770
7	6d/04757c	20469	formatBlast (7)	COMPLETED	0	2015-05-10 11:40:40.055	1m 28s	48.1s	96.4%	90 MB	167.3 MB	117.1 MB	187.4 MB	1 GB	263.2 MB	34032	1673	88233	48051	94388224	175411200	122740736	196501504	1113689212	275933310
2	56/41fb5f	20464	formatBlast (3)	COMPLETED	0	2015-05-10 11:40:40.054	1m 33s	1m 2s	87.6%	34.4 MB	82 MB	34.4 MB	82 MB	1.1 GB	273.4 MB	34510	5198	93082	62103	36052992	85970944	36052992	85983232	1129266948	286671905
1	f7/aa590b	20463	formatBlast (1)	COMPLETED	0	2015-05-10 11:40:40.053	1m 38s	1m 8s	97.2%	525.7 MB	574.9 MB	815.9 MB	865.1 MB	1.7 GB	430.2 MB	55883	6598	98216	67867	551264256	602836992	855494656	907079680	1829590916	451121507
8	3d/3b45ae	20468	formatBlast (8)	COMPLETED	0	2015-05-10 11:40:40.057	1m 51s	1m 22s	88.7%	57.9 MB	107 MB	66.4 MB	115.4 MB	2 GB	509.9 MB	66632	4880	111289	82314	60764160	112148480	69578752	120975360	2181926040	534617276
14	85/1eb0ee	20466	formatChr (5)	COMPLETED	0	2015-05-10 11:40:40.053	2m 19s	1m 43s	86.8%	336.4 MB	349.5 MB	336.6 MB	349.7 MB	2.2 GB	1019.5 MB	751066	376435	139129	102636	352784384	366485504	352980992	366641152	2350126536	1069011700
3	99/cd9e6f	20470	formatBlast (2)	COMPLETED	0	2015-05-10 11:40:40.054	2m 25s	1m 57s	93.8%	97.7 MB	148.7 MB	101.5 MB	152.5 MB	2.5 GB	630.3 MB	80406	7934	144721	117447	102412288	155918336	106430464	159948800	2633272498	660873928
13	53/362254	20461	formatChr (4)	COMPLETED	0	2015-05-10 11:40:40.052	3m 26s	2m 57s	79.6%	273.3 MB	286.3 MB	273.5 MB	286.6 MB	1.4 GB	1.1 GB	976942	445559	205984	177273	286535680	300208128	286781440	300486656	1508623760	1141625759
15	9a/43b609	26636	formatChr (6)	COMPLETED	0	2015-05-10 11:40:53.545	3m 50s	3m 30s	88.0%	341.2 MB	354.2 MB	341.5 MB	354.5 MB	2.5 GB	1.1 GB	1155425	470692	229606	209986	357777408	371458048	358039552	371740672	2641552066	1144623689
17	36/900ff9	11183	formatChr (8)	COMPLETED	0	2015-05-10 11:42:08.289	2m 49s	1m 32s	45.0%	248.7 MB	261.7 MB	248.7 MB	261.7 MB	2.1 GB	1 GB	384202	306809	168851	91735	260780032	274436096	260780032	274456576	2230378649	1081261535
