task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
18	e0/c0f945	26954	formatChr (9)	COMPLETED	0	2015-05-10 13:06:10.719	11.1s	7.8s	82.8%	330.4 MB	530.7 MB	330.9 MB	531.3 MB	982 MB	982 MB	125984	251401	11127	7759	346427392	556441600	347021312	557084672	1029660839	1029650578
11	c1/d86598	26961	formatChr (2)	COMPLETED	0	2015-05-10 13:06:10.721	36.6s	34.7s	83.3%	331.3 MB	531.6 MB	333 MB	533.3 MB	2.9 GB	1.7 GB	474333	488629	36649	34711	347369472	557383680	349151232	559165440	3092858003	1830711688
5	37/165dc7	26955	formatBlast (5)	COMPLETED	0	2015-05-10 13:06:10.723	36.7s	31.9s	97.0%	389 MB	596.1 MB	528.2 MB	735.8 MB	1012 MB	250.3 MB	32425	2703	36664	31932	407937024	625070080	553885696	771530752	1061189821	262465082
4	96/7ed5d1	26962	formatBlast (4)	COMPLETED	0	2015-05-10 13:06:10.720	36.7s	35.4s	93.4%	77.8 MB	230.3 MB	94.3 MB	246.8 MB	962.2 MB	230.9 MB	30829	3047	36690	35432	81588224	241483776	98897920	258793472	1008892111	242068698
7	be/961e22	26957	formatBlast (7)	COMPLETED	0	2015-05-10 13:06:10.722	36.7s	34.9s	96.8%	90.6 MB	252.9 MB	117.6 MB	280 MB	1016.4 MB	250.7 MB	32566	671	36692	34915	94965760	265232384	123314176	293580800	1065810099	262862848
9	74/0a72bd	26963	formatBlast (9)	COMPLETED	0	2015-05-10 13:06:10.718	41.7s	40.3s	99.0%	410.5 MB	673.1 MB	553.2 MB	797.7 MB	1.1 GB	226.4 MB	35516	73	41675	40285	430456832	705744896	580026368	836435968	1162475729	237383810
1	d1/1dd0bc	3084	formatBlast (2)	COMPLETED	0	2015-05-10 13:06:21.865	41.3s	37.2s	98.4%	30.8 MB	169.1 MB	34.8 MB	173.1 MB	1 GB	264.3 MB	33341	5179	41259	37180	32260096	177278976	36438016	181456896	1091205329	277149247
15	4b/ca3a70	12139	formatChr (6)	COMPLETED	0	2015-05-10 13:06:47.371	36.4s	33.2s	47.0%	33.3 MB	233.6 MB	33.8 MB	234.1 MB	2.1 GB	1 GB	396482	309013	36404	33230	34951168	244977664	35442688	245497856	2238373567	1081323885
6	b4/77d9b3	12198	formatBlast (6)	COMPLETED	0	2015-05-10 13:06:47.387	36.9s	35.8s	96.5%	481 MB	678.8 MB	560.4 MB	758.3 MB	946.8 MB	229.7 MB	30339	69	36904	35765	504320000	711774208	587620352	795107328	992835779	240821749
19	d4/1380a0	20956	blast (1)	COMPLETED	0	2015-05-10 13:07:24.292	6.6s	5.4s	40.0%	146.4 MB	482.1 MB	265.3 MB	546.3 MB	30.2 KB	389 B	29	2	6554	5424	153546752	505524224	278200320	572825600	30931	389
20	52/7bac03	19746	blast (2)	COMPLETED	0	2015-05-10 13:07:30.847	5.8s	2.4s	41.0%	275.1 MB	445 MB	278.5 MB	445 MB	30.2 KB	389 B	29	2	5756	2434	288497664	466644992	292073472	466644992	30931	389
21	0a/5972df	17700	blast (3)	COMPLETED	0	2015-05-10 13:07:36.604	5.7s	2.4s	40.0%	282.4 MB	499.6 MB	282.4 MB	563.6 MB	30.2 KB	389 B	29	2	5691	2412	296075264	523862016	296075264	590970880	30931	389
22	33/01fc60	14183	blast (4)	COMPLETED	0	2015-05-10 13:07:42.295	5.6s	3.1s	44.0%	304.6 MB	473.2 MB	308.2 MB	473.2 MB	30.2 KB	389 B	29	2	5572	3075	319385600	496205824	323141632	496205824	30931	389
3	ec/2733bf	26958	formatBlast (3)	COMPLETED	0	2015-05-10 13:06:10.721	1m 37s	1m 36s	95.9%	97.1 MB	241 MB	105.1 MB	249 MB	2.4 GB	614.2 MB	78379	7707	97486	95526	101765120	252657664	110178304	261074944	2567010537	644050513
13	8a/5a8ea8	26956	formatChr (4)	COMPLETED	0	2015-05-10 13:06:10.721	1m 43s	1m 42s	83.1%	280.3 MB	480.6 MB	281.9 MB	482.2 MB	1.4 GB	1.1 GB	952371	441294	102642	102084	293933056	503926784	295575552	505589760	1463454088	1141498220
17	12/99fb32	26959	formatChr (8)	COMPLETED	0	2015-05-10 13:06:10.719	1m 43s	1m 40s	86.4%	581.9 MB	782.2 MB	582.9 MB	783.1 MB	3 GB	2.1 GB	1054654	699171	102648	100294	610205696	820162560	611172352	821174272	3200744146	2244711720
23	95/2ddd1b	10437	blast (5)	COMPLETED	0	2015-05-10 13:07:47.868	6s	3.1s	53.0%	136.7 MB	573.6 MB	280.6 MB	573.6 MB	188.6 KB	389 B	50	2	6019	3051	143331328	601464832	294277120	601464832	193161	389
24	1c/c70e06	11902	blast (6)	COMPLETED	0	2015-05-10 13:07:48.207	5.8s	4.4s	45.0%	152.6 MB	553.3 MB	270.2 MB	553.3 MB	188.6 KB	510 B	50	3	5841	4407	159993856	580182016	283295744	580182016	193161	510
26	38/9fdaab	1891	blast (7)	COMPLETED	0	2015-05-10 13:07:53.369	10.8s	7.1s	80.2%	445.2 MB	882.1 MB	650.5 MB	918.7 MB	188.6 KB	389 B	50	2	10805	7112	466800640	924958720	682078208	963375104	193161	389
14	e1/543327	12265	formatChr (5)	COMPLETED	0	2015-05-10 13:06:47.410	1m 17s	1m 17s	50.0%	35.4 MB	235.7 MB	35.8 MB	236.1 MB	2.2 GB	1019.4 MB	736374	373795	77078	76901	37113856	247119872	37507072	247517184	2345086990	1068927842
8	49/5f146f	12277	formatBlast (8)	COMPLETED	0	2015-05-10 13:06:47.415	1m 18s	1m 15s	95.3%	63.6 MB	204.6 MB	65.4 MB	208.5 MB	2 GB	509.9 MB	66627	4878	78432	75056	66646016	214548480	68583424	218583040	2181920975	534616811
16	08/0dd709	26960	formatChr (7)	COMPLETED	0	2015-05-10 13:06:10.720	2m 3s	1m 59s	81.8%	321.2 MB	521.5 MB	323.4 MB	523.7 MB	2.5 GB	1.1 GB	1148723	469498	123037	118510	336801792	546844672	339058688	549122048	2638178673	1144574776
2	9c/cf7f61	17980	formatBlast (1)	COMPLETED	0	2015-05-10 13:07:23.776	57.5s	56.9s	99.6%	526 MB	667.5 MB	816.1 MB	957.6 MB	1.6 GB	394.7 MB	51423	6538	57533	56933	551505920	699932672	855736320	1004163072	1683716301	413917129
32	a4/1b54d6	11287	exonerate (7)	COMPLETED	0	2015-05-10 13:08:05.848	15.8s	13.1s	52.2%	378 MB	599 MB	378 MB	599.1 MB	338.6 MB	441.6 KB	87185	161	15842	13052	396398592	628137984	396398592	628178944	355046677	452206
27	6f/ed9f45	4224	exonerate (2)	COMPLETED	0	2015-05-10 13:07:53.887	32.1s	28.1s	114.0%	115.9 MB	361.5 MB	120.6 MB	366.5 MB	359.5 MB	5.2 MB	95008	1553	32117	28106	121561088	379084800	126504960	384335872	377010583	5483351
