name,realtime_docker,realtime_native
blast,31146.666666667,6301.4444444444
blast,29505.111111111,6864.2222222222
blast,40868.222222222,6491
blast,24392.555555556,6516
blast,44983.666666667,6505.7777777778
blast,49012.111111111,6489.8888888889
blast,44739.222222222,6434.6666666667
blast,7261.1111111111,6467.3333333333
blast,31045.111111111,7154.4444444444
blast,31068.111111111,6739.4444444444
exonerate,121584.91666667,122149.08333333
exonerate,120918.83333333,124430.91666667
exonerate,112629.66666667,123610.75
exonerate,114895,120650.75
exonerate,122405.83333333,112832.16666667
exonerate,144380.91666667,124799.33333333
exonerate,116671.91666667,127432.91666667
exonerate,131335.08333333,120905.5
exonerate,151931.66666667,121869.91666667
exonerate,142371.08333333,120041.08333333
formatBlast,104239.33333333,51481.666666667
formatBlast,121674.11111111,50359.555555556
formatBlast,113656.44444444,50584.111111111
formatBlast,121415,52903.111111111
formatBlast,146624.88888889,53131
formatBlast,98414.333333333,52462.111111111
formatBlast,128060.44444444,52475.555555556
formatBlast,106843.22222222,52118.666666667
formatBlast,112685.22222222,53684.444444444
formatBlast,114934,54919.444444444
formatChr,268906.33333333,154991.77777778
formatChr,248231.77777778,152795.22222222
formatChr,260874.33333333,154333.22222222
formatChr,262093.66666667,152819.33333333
formatChr,245606.66666667,157574.55555556
formatChr,261269.88888889,161422.33333333
formatChr,245731.77777778,157442.77777778
formatChr,270959.66666667,155567.33333333
formatChr,273030.77777778,153337.22222222
formatChr,268424.88888889,151686.44444444
similarity,11663.434782609,2522.4130434783
similarity,11342.673913043,2420.1086956522
similarity,11892.956521739,2631.2173913043
similarity,12191.282608696,2516.3043478261
similarity,11688.065217391,2415.8913043478
similarity,12592.847826087,2424.7173913043
similarity,12282.086956522,2425.2391304348
similarity,12350.608695652,2530.3695652174
similarity,12633.086956522,2641.9347826087
similarity,12695.369565217,3338.152173913
