begin	end	elapsed	delta	duration	realtime
May-10 09:14:33.517	May-10 09:27:00.775	0:12:27	747258	5653040	4104952
May-10 09:36:52.812	May-10 09:49:32.283	0:12:39	759471	5819617	4161389
May-10 09:59:11.977	May-10 10:14:00.767	0:14:48	888790	5865334	4243833
May-10 10:24:47.769	May-10 10:39:10.191	0:14:22	862422	5828507	4158720
May-10 10:50:21.181	May-10 11:05:16.049	0:14:54	894868	5980631	4169272
May-10 11:16:29.647	May-10 11:30:24.258	0:13:54	834611	5980202	4306470
May-10 11:40:38.589	May-10 11:54:42.048	0:14:3	843459	5917244	4063902
May-10 12:05:19.078	May-10 12:19:24.738	0:14:5	845660	5732180	4123930
May-10 12:29:25.994	May-10 12:42:34.787	0:13:8	788793	5515195	3940912
May-10 12:53:35.517	May-10 13:05:50.692	0:12:15	735175	5624765	3923178
