begin	end	elapsed	delta	duration	realtime
May-10 09:27:19.810	May-10 09:36:34.612	0:9:14	554802	3516791	3317701
May-10 09:49:50.899	May-10 09:58:53.228	0:9:2	542329	3544082	3355773
May-10 10:14:19.455	May-10 10:24:29.719	0:10:10	610264	3563241	3392197
May-10 10:39:28.463	May-10 10:50:02.465	0:10:34	634002	3496067	3329339
May-10 11:05:38.291	May-10 11:16:11.360	0:10:33	633069	3503797	3329395
May-10 11:30:43.017	May-10 11:40:19.337	0:9:36	576320	3449072	3271328
May-10 11:55:00.972	May-10 12:05:00.868	0:9:59	599896	3547148	3382713
May-10 12:19:45.090	May-10 12:29:07.822	0:9:22	562732	3475863	3298704
May-10 12:42:53.304	May-10 12:53:15.393	0:10:22	622089	3534570	3359150
May-10 13:06:09.276	May-10 13:15:54.695	0:9:45	585419	3465633	3293536
