task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
16	64/482fde	9313	formatChr (7)	COMPLETED	0	2015-05-10 09:59:13.434	18s	10s	44.6%	174.4 MB	187.5 MB	174.8 MB	187.9 MB	515.4 MB	515.4 MB	66137	131952	18030	9960	182919168	196587520	183246848	196997120	540434158	540417547
6	c8/30129f	9309	formatBlast (6)	COMPLETED	0	2015-05-10 09:59:13.432	1m 14s	49.3s	91.8%	372.8 MB	478.3 MB	560.2 MB	665.8 MB	1 GB	255.3 MB	33016	1357	74001	49313	390946816	501501952	587423744	698126336	1080144946	267672990
5	56/8b1d78	9306	formatBlast (5)	COMPLETED	0	2015-05-10 09:59:13.431	1m 23s	45.6s	93.7%	342.3 MB	457 MB	528.5 MB	643.2 MB	1016.3 MB	252 MB	32568	2926	83109	45571	358903808	479154176	554160128	674447360	1065640163	264268573
11	a1/92da8f	9312	formatChr (2)	COMPLETED	0	2015-05-10 09:59:13.434	1m 26s	1m 2s	77.3%	500.3 MB	513.3 MB	500.3 MB	513.4 MB	3.5 GB	1.7 GB	529159	495009	86267	62332	524632064	538279936	524632064	538300416	3752859554	1830901117
1	59/e67ecf	9311	formatBlast (1)	COMPLETED	0	2015-05-10 09:59:13.433	1m 26s	1m 9s	64.8%	26 MB	75 MB	30.2 MB	79.2 MB	1.1 GB	275.7 MB	34515	5318	86280	68573	27295744	78626816	31653888	82997248	1129267854	289125240
7	3e/518aa1	14590	formatBlast (7)	COMPLETED	0	2015-05-10 09:59:31.473	1m 23s	56.3s	76.8%	90 MB	160.7 MB	116.7 MB	187.4 MB	1.1 GB	270.1 MB	34767	2588	82843	56339	94392320	168525824	122355712	196501504	1137541328	283176001
4	46/def00a	9310	formatBlast (3)	COMPLETED	0	2015-05-10 09:59:13.435	2m 58s	2m 23s	93.3%	77.4 MB	128.6 MB	101.3 MB	152.5 MB	2.5 GB	632.5 MB	80577	8084	177877	143199	81154048	134893568	106196992	159948800	2638778043	663259915
14	b3/f82f38	9314	formatChr (5)	COMPLETED	0	2015-05-10 09:59:13.434	2m 58s	2m 16s	79.1%	314.6 MB	327.7 MB	315.2 MB	328.3 MB	2.2 GB	1019.7 MB	783141	382191	177978	136090	329895936	343592960	330530816	344256512	2362714753	1069194549
17	ac/3b79b3	9305	formatChr (8)	COMPLETED	0	2015-05-10 09:59:13.437	3m 43s	3m 35s	62.9%	571.8 MB	584.8 MB	571.8 MB	584.8 MB	3.3 GB	2.1 GB	1068691	700106	223024	215170	599568384	613228544	599568384	613253120	3492700697	2244739903
19	14/325009	12259	blast (1)	COMPLETED	0	2015-05-10 10:02:56.462	38.9s	8.1s	71.6%	165.7 MB	439 MB	465.1 MB	592 MB	192.9 KB	344.5 KB	56	104	38867	8135	173789184	460324864	487731200	620728320	197545	352759
