task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
18	c1/eb31b8	8856	formatChr (9)	COMPLETED	0	2015-05-10 11:30:44.455	11.1s	7.7s	79.5%	367.8 MB	568 MB	370.6 MB	570.8 MB	1.1 GB	1.1 GB	140683	280734	11065	7703	385662976	595632128	388595712	598556672	1149810462	1149797021
4	11/e76c2d	8858	formatBlast (4)	COMPLETED	0	2015-05-10 11:30:44.453	36.7s	34.8s	93.2%	96.5 MB	247.2 MB	96.5 MB	247.2 MB	982.7 MB	239.2 MB	31487	3049	36729	34754	101187584	259162112	101187584	259162112	1030453455	250814975
7	fa/8b4c13	8859	formatBlast (7)	COMPLETED	0	2015-05-10 11:30:44.454	36.8s	34.5s	95.6%	111.3 MB	280 MB	117.1 MB	280 MB	1 GB	253 MB	32847	761	36829	34515	116727808	293580800	122765312	293580800	1075017907	265315697
9	76/06c8ba	8861	formatBlast (9)	COMPLETED	0	2015-05-10 11:30:44.455	41.5s	40.2s	97.1%	349.2 MB	574 MB	554.1 MB	797.7 MB	1.1 GB	226.4 MB	35115	73	41501	40208	366145536	601931776	581038080	836435968	1149335761	237383810
1	36/ff4526	8852	formatBlast (3)	COMPLETED	0	2015-05-10 11:30:44.458	41.9s	38.3s	92.6%	30 MB	168.5 MB	33.9 MB	172.3 MB	1 GB	260.4 MB	32882	5171	41867	38293	31498240	176685056	35495936	180690944	1076164817	273078987
8	64/4f9e9b	8853	formatBlast (8)	COMPLETED	0	2015-05-10 11:30:44.455	1m 9s	1m 9s	95.6%	50.6 MB	195.5 MB	59.4 MB	204.2 MB	1.9 GB	474 MB	61742	4848	69223	68894	53092352	204996608	62263296	214167552	2021849295	497075591
5	a3/4ce012	20430	formatBlast (5)	COMPLETED	0	2015-05-10 11:31:21.183	37.7s	33.1s	97.8%	389.5 MB	596.1 MB	528.4 MB	735.8 MB	1009.9 MB	249.6 MB	32356	2608	37697	33054	408444928	625070080	554053632	771530752	1058928829	261678159
15	9d/4dc690	6615	formatChr (6)	COMPLETED	0	2015-05-10 11:31:25.956	32.9s	32.6s	39.0%	28.1 MB	228.4 MB	28.6 MB	228.9 MB	2.1 GB	1 GB	355376	301635	32947	32592	29433856	239448064	29954048	239968256	2216617936	1081114021
14	1b/9efd91	8860	formatChr (5)	COMPLETED	0	2015-05-10 11:30:44.456	1m 17s	1m 12s	79.4%	341.5 MB	541.8 MB	341.6 MB	541.9 MB	2.2 GB	1019.7 MB	781419	381880	76812	71802	358129664	568074240	358203392	568213504	2362936843	1069183192
11	e9/596c27	20845	formatChr (2)	COMPLETED	0	2015-05-10 11:31:21.283	42.7s	37.9s	81.4%	368.8 MB	569.1 MB	369.2 MB	569.5 MB	3.3 GB	1.7 GB	518018	494411	42722	37902	386727936	596717568	387121152	597127168	3494596085	1830881879
19	0b/3ee94a	14886	blast (1)	COMPLETED	0	2015-05-10 11:32:01.268	5.8s	2.4s	43.0%	149.1 MB	445 MB	281.9 MB	563 MB	188.6 KB	389 B	50	2	5756	2408	156332032	466644992	295546880	590311424	193161	389
20	0e/d22ceb	23114	blast (2)	COMPLETED	0	2015-05-10 11:32:04.005	6.2s	2.4s	46.0%	175.1 MB	445.7 MB	282.4 MB	563.6 MB	188.6 KB	389 B	50	2	6161	2409	183656448	467304448	296099840	590970880	193161	389
21	1d/45c28b	530	blast (3)	COMPLETED	0	2015-05-10 11:32:07.027	5.7s	2.7s	43.0%	309.6 MB	527.2 MB	309.6 MB	591.2 MB	30.2 KB	389 B	29	2	5686	2659	324608000	552763392	324608000	619872256	30931	389
22	8d/3f128f	14739	blast (4)	COMPLETED	0	2015-05-10 11:32:10.167	5.6s	2.8s	44.0%	132.2 MB	444.7 MB	282.1 MB	562.6 MB	188.6 KB	389 B	50	2	5611	2831	138596352	466313216	295845888	589979648	193161	389
23	5b/506668	22010	blast (5)	COMPLETED	0	2015-05-10 11:32:12.714	5.7s	5.2s	45.0%	202.5 MB	705.4 MB	205.1 MB	705.4 MB	30.2 KB	389 B	29	2	5745	5218	212299776	739680256	215080960	739680256	30931	389
2	d8/716365	8857	formatBlast (2)	COMPLETED	0	2015-05-10 11:30:44.454	1m 35s	1m 31s	97.0%	98.3 MB	241 MB	106.2 MB	249 MB	2.4 GB	624.1 MB	79777	7874	95117	90876	103108608	252657664	111407104	261074944	2612820201	654448988
24	f7/7001e0	2802	blast (6)	COMPLETED	0	2015-05-10 11:32:15.779	5.7s	5.4s	39.0%	265.3 MB	482.3 MB	265.3 MB	546.3 MB	30.2 KB	389 B	29	2	5722	5424	278151168	505716736	278151168	572825600	30931	389
17	ae/f6ac44	8855	formatChr (8)	COMPLETED	0	2015-05-10 11:30:44.456	1m 37s	1m 36s	83.4%	617.5 MB	817.7 MB	618 MB	818.2 MB	2.7 GB	2.1 GB	1039499	697827	97159	95647	647454720	857460736	648007680	857993216	2943664083	2244671789
12	85/ac391a	8854	formatChr (3)	COMPLETED	0	2015-05-10 11:30:44.459	1m 38s	1m 37s	77.7%	316 MB	516.3 MB	317.7 MB	517.9 MB	1.4 GB	1.1 GB	949680	440811	98128	97060	331374592	541380608	333082624	543043584	1461414125	1141483466
3	e4/28571e	8085	formatBlast (1)	COMPLETED	0	2015-05-10 11:31:26.325	57.7s	57.6s	97.8%	526.3 MB	667.5 MB	816.5 MB	957.6 MB	1.6 GB	395.9 MB	51529	6540	57726	57602	551895040	699932672	856125440	1004163072	1687189709	415125459
30	dc/2383e1	29554	exonerate (5)	COMPLETED	0	2015-05-10 11:32:24.052	5.6s	3.8s	25.0%	41.5 MB	288.1 MB	41.6 MB	288.1 MB	21.1 MB	247.6 KB	5564	73	5627	3779	43556864	302133248	43614208	302133248	22073332	253495
6	2f/3afae4	10297	formatBlast (6)	COMPLETED	0	2015-05-10 11:31:53.679	36.5s	36.5s	97.5%	505 MB	702.5 MB	560.7 MB	758.3 MB	911.6 MB	215.8 MB	29210	64	36547	36458	529489920	736620544	587943936	795107328	955840707	226244924
26	d0/625035	16827	blast (7)	COMPLETED	0	2015-05-10 11:32:19.587	11.2s	6.4s	100.0%	625.6 MB	882.1 MB	650.4 MB	918.7 MB	188.6 KB	389 B	50	2	11205	6435	655949824	924958720	682024960	963375104	193161	389
33	c3/8ab13e	-	normExonerate (1)	COMPLETED	-	2015-05-10 11:32:30.795	8ms	1ms	-	-	-	-	-	-	-	-	-	8	1	-	-	-	-	-	-
32	90/000dd8	14499	blast (8)	COMPLETED	0	2015-05-10 11:32:30.227	5.8s	3.8s	41.0%	245.7 MB	607.8 MB	248.7 MB	607.8 MB	30.2 KB	389 B	29	2	5798	3811	257638400	637362176	260767744	637362176	30931	389
34	bc/8f2dda	16179	blast (9)	COMPLETED	0	2015-05-10 11:32:30.803	7s	4.4s	48.0%	175.2 MB	553.3 MB	268.8 MB	553.3 MB	188.6 KB	510 B	50	3	6960	4380	183762944	580182016	281907200	580182016	193161	510
35	b5/ba8e23	29739	exonerate (7)	COMPLETED	0	2015-05-10 11:32:36.063	11.7s	7.9s	77.2%	695.6 MB	919.8 MB	695.6 MB	919.8 MB	353.8 MB	420.6 KB	90825	124	11687	7853	729440256	964509696	729440256	964509696	370936320	430700
31	02/64ce6a	12840	exonerate (6)	COMPLETED	0	2015-05-10 11:32:29.679	31.4s	31s	88.9%	116.2 MB	362.4 MB	120.2 MB	366.5 MB	353.2 MB	4.7 MB	93027	1383	31436	31040	121831424	379994112	126013440	384294912	370371001	4893660
38	4f/01e9e3	-	normExonerate (2)	COMPLETED	-	2015-05-10 11:33:01.115	5ms	1ms	-	-	-	-	-	-	-	-	-	5	1	-	-	-	-	-	-
39	74/aea9f3	-	normExonerate (3)	COMPLETED	-	2015-05-10 11:33:01.131	3ms	0ms	-	-	-	-	-	-	-	-	-	3	0	-	-	-	-	-	-
25	4d/510ade	11356	exonerate (1)	COMPLETED	0	2015-05-10 11:32:18.459	51.4s	47.3s	137.8%	606.2 MB	860.7 MB	606.2 MB	860.7 MB	947.6 MB	6.1 MB	245856	1813	51380	47301	635621376	902483968	635686912	902483968	993612364	6420299
40	ce/5c2b57	-	normExonerate (4)	COMPLETED	-	2015-05-10 11:33:09.855	3ms	1ms	-	-	-	-	-	-	-	-	-	3	1	-	-	-	-	-	-
27	d9/75f0e3	24637	exonerate (2)	COMPLETED	0	2015-05-10 11:32:21.586	53s	48.4s	106.1%	514.3 MB	747.2 MB	514.3 MB	747.3 MB	286.7 MB	502.2 KB	74268	197	53013	48385	539258880	783544320	539258880	783552512	300637348	514276
41	f6/429e42	-	normExonerate (5)	COMPLETED	-	2015-05-10 11:33:14.610	2ms	0ms	-	-	-	-	-	-	-	-	-	2	0	-	-	-	-	-	-
16	64/a33daf	6063	formatChr (7)	COMPLETED	0	2015-05-10 11:31:58.904	1m 57s	1m 57s	89.5%	342.7 MB	543 MB	343.1 MB	543.4 MB	2.4 GB	1.1 GB	1109315	462429	117381	116940	359354368	569409536	359817216	569794560	2619270724	1144294773
42	80/fc7bd9	9130	exonerate (10)	COMPLETED	0	2015-05-10 11:33:56.322	42.1s	37.7s	45.8%	145.8 MB	394.7 MB	145.9 MB	394.7 MB	538 MB	6.6 MB	141271	1940	42103	37688	152924160	413868032	153001984	413868032	564145372	6902908
43	9b/4b087a	-	normExonerate (6)	COMPLETED	-	2015-05-10 11:34:38.443	3ms	1ms	-	-	-	-	-	-	-	-	-	3	1	-	-	-	-	-	-
