name,realtime_docker,realtime_native
buildIndex,5439374,5189182
buildIndex,5485727,5464851
buildIndex,5506150,5552819
buildIndex,5600248,5661132
buildIndex,5626161,5664315
buildIndex,5817432,5811525
buildIndex,5825456,5818487
buildIndex,5885340,5838189
buildIndex,5916036,6071702
buildIndex,6027755,6238597
makeTranscript,326812.25,343196.75
makeTranscript,337068.25,338050.5
makeTranscript,339132.25,337743.75
makeTranscript,356362.25,331993
makeTranscript,331836.5,343488.5
makeTranscript,331290.75,334924.5
makeTranscript,329650.5,354749.75
makeTranscript,329031.75,346438.5
makeTranscript,333468.25,346419.25
makeTranscript,350139.75,358027
mapping,15519276,15361867
mapping,15500009.25,15381409.25
mapping,15558931.25,15440434.75
mapping,15500695.5,15475937.25
mapping,15588764.5,15596749.5
mapping,15616975.75,15630580.5
mapping,15607789.75,15735092.5
mapping,15748010,15673237.25
mapping,15744705,15629366.25
mapping,15702850.75,15850685.75
