name,realtime_docker,realtime_native
buildIndex,5815728,5659020
buildIndex,5503790,5188542
buildIndex,5914190,5810911
buildIndex,5823537,5833224
buildIndex,6025572,6067368
buildIndex,5597917,5550238
buildIndex,5483505,5662482
buildIndex,5623614,5817976
buildIndex,5437160,6234163
buildIndex,5883181,5460610
makeTranscript,396600,393654
makeTranscript,346491,384871
makeTranscript,339298,377015
makeTranscript,364830,365294
makeTranscript,375574,338736
makeTranscript,384860,368850
makeTranscript,340516,374114
makeTranscript,383396,328989
makeTranscript,348465,350434
makeTranscript,320541,436278
makeTranscript,275913,300751
makeTranscript,291288,299202
makeTranscript,293906,309081
makeTranscript,278721,289321
makeTranscript,291533,354975
makeTranscript,291802,333490
makeTranscript,288116,352265
makeTranscript,319231,388645
makeTranscript,290052,294912
makeTranscript,292870,289696
makeTranscript,335551,347174
makeTranscript,345211,344089
makeTranscript,351765,367194
makeTranscript,346984,344152
makeTranscript,334966,360848
makeTranscript,335420,323472
makeTranscript,343732,379567
makeTranscript,353053,321108
makeTranscript,344142,362598
makeTranscript,347959,366906
makeTranscript,323689,318594
makeTranscript,318879,314253
makeTranscript,318624,322380
makeTranscript,324208,316448
makeTranscript,320759,316489
makeTranscript,320322,317940
makeTranscript,321282,318030
makeTranscript,321936,319743
makeTranscript,319661,320179
makeTranscript,319349,318379
mapping,14737426,14485443
mapping,14426868,15510740
mapping,15713289,14670914
mapping,14500894,14457228
mapping,14605675,14425089
mapping,14780324,16033038
mapping,15764832,14680312
mapping,14861919,14955241
mapping,14587810,15149894
mapping,14632338,14864132
mapping,15568102,16442174
mapping,15226144,14451708
mapping,14415570,15292992
mapping,16764633,15623104
mapping,15685535,16640657
mapping,16894609,14616683
mapping,14540394,16692350
mapping,16796440,16117150
mapping,15790398,15658113
mapping,16838981,15673668
mapping,15144295,15524398
mapping,16629685,15051332
mapping,15182733,16623653
mapping,15326629,15132336
mapping,15216736,15783422
mapping,15416318,16506301
mapping,15307539,15156995
mapping,15383323,15100021
mapping,15327996,16786639
mapping,15895832,15500989
mapping,16605552,15064671
mapping,15682162,16425113
mapping,16660630,15790144
mapping,15816635,16540988
mapping,16700728,15048856
mapping,15875073,15352880
mapping,16716526,15983403
mapping,15910815,16514308
mapping,16736791,15800635
mapping,15416126,16897129
