begin	end	elapsed	delta	duration	realtime
May-04 21:30:05.195	May-05 03:49:24.779	6:19:19	22759584	69319985	69202856
May-05 09:55:46.273	May-05 16:17:35.404	6:21:49	22909131	69243419	69190005
May-05 22:36:36.954	May-06 05:00:59.889	6:24:22	23062935	69611753	69557078
May-06 11:14:41.505	May-06 17:30:18.202	6:15:36	22536697	69156912	69106442
May-06 23:48:37.187	May-07 06:03:45.504	6:15:8	22508317	69232440	69182475
May-05 03:43:34.004	May-05 09:58:08.944	6:14:34	22474940	68827534	68770518
May-05 16:18:08.612	May-05 22:40:14.838	6:22:6	22926226	69590488	69547071
May-06 05:04:50.219	May-06 11:25:19.913	6:20:29	22829694	69948817	69896645
May-06 17:43:59.354	May-07 00:03:16.515	6:19:17	22757161	70005540	69953727
May-07 06:33:09.182	May-07 12:57:25.311	6:24:16	23056129	70003992	69947177
