begin	end	elapsed	delta	duration	realtime
May-05 03:49:45.848	May-05 09:55:22.140	6:5:36	21936292	67987625	67969850
May-05 16:17:49.720	May-05 22:36:12.038	6:18:22	22702318	68927900	68902095
May-06 05:01:14.033	May-06 11:14:17.672	6:13:3	22383639	69422486	69402892
May-06 17:30:33.091	May-06 23:48:13.259	6:17:40	22660168	69884223	69863181
May-07 06:03:59.447	May-07 12:22:04.444	6:18:4	22684997	69824220	69807787
May-04 21:28:56.931	May-05 03:42:47.810	6:13:50	22430879	68560723	68535879
May-05 09:58:29.927	May-05 16:17:57.545	6:19:27	22767618	69584277	69564284
May-05 22:40:39.006	May-06 05:04:36.003	6:23:56	23036997	69361128	69336440
May-06 11:25:42.772	May-06 17:43:44.025	6:18:1	22681253	69618745	69599518
May-07 00:03:39.995	May-07 06:32:55.053	6:29:15	23355058	70981038	70957567
